,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
8111,Terrell Wells Middle School,4/10,Below average,"422 West Hutchins Place, San Antonio, TX, 78221",Public district,6-8,747,15:1,Harlandale Independent School District
8112,Park Village Elementary School,4/10,Below average,"5855 Midcrown Drive, San Antonio, TX, 78218",Public district,PK-5,545,14:1,Judson Independent School District
8113,Woodlake Elementary School,4/10,Below average,"5501 Luke Boulevard, San Antonio, TX, 78236",Public district,PK-5,601,14:1,Judson Independent School District
8114,Spring Meadows Elementary School,4/10,Below average,"7135 Elm Trail Drive, San Antonio, TX, 78244",Public district,PK-5,621,13:1,Judson Independent School District
8115,Woodlake Hills Middle School,4/10,Below average,"6625 Woodlake Parkway, San Antonio, TX, 78244",Public district,6-8,815,13:1,Judson Independent School District
8116,Coker Elementary School,4/10,Below average,"302 Heimer Road, San Antonio, TX, 78232",Public district,PK-5,837,16:1,North East Independent School District
8117,Eisenhower Middle School,4/10,Below average,"8231 Blanco Road, San Antonio, TX, 78216",Public district,6-8,1040,15:1,North East Independent School District
8118,El Dorado Elementary School,4/10,Below average,"12634 El Sendero Street, San Antonio, TX, 78233",Public district,PK-5,719,14:1,North East Independent School District
8119,Macarthur High School,4/10,Below average,"2923 MacArthur View, San Antonio, TX, 78217",Public district,9-12,2391,16:1,North East Independent School District
8120,Nimitz Middle School,4/10,Below average,"5426 Blanco Road, San Antonio, TX, 78216",Public district,6-8,1285,15:1,North East Independent School District
8121,Regency Place Elementary School,4/10,Below average,"2635 East Bitters Road, San Antonio, TX, 78217",Public district,PK-5,532,12:1,North East Independent School District
8122,Ridgeview Elementary School,4/10,Below average,"8223 McCullough Avenue, San Antonio, TX, 78216",Public district,PK-5,610,13:1,North East Independent School District
8123,Roosevelt High School,4/10,Below average,"5110 Walzem Road, San Antonio, TX, 78218",Public district,9-12,2819,15:1,North East Independent School District
8124,Walzem Elementary School,4/10,Below average,"4618 Walzem Road, San Antonio, TX, 78218",Public district,PK-5,656,13:1,North East Independent School District
8125,White Middle School,4/10,Below average,"7800 Midcrown Drive, San Antonio, TX, 78218",Public district,6-8,1072,13:1,North East Independent School District
8126,Wood Middle School,4/10,Below average,"14800 Judson Road, San Antonio, TX, 78233",Public district,6-8,974,16:1,North East Independent School District
8127,Northern Hills Elementary School,4/10,Below average,"13901 Higgins Road, San Antonio, TX, 78217",Public district,PK-5,679,16:1,North East Independent School District
8128,Jackson-Keller Elementary School,4/10,Below average,"1601 Jackson Keller Road, San Antonio, TX, 78213",Public district,PK-5,783,12:1,North East Independent School District
8129,Academy Of Creative Ed,4/10,Below average,"3736 Perrin Central Boulevard, San Antonio, TX, 78217",Public district,9-12,124,12:1,North East Independent School District
8130,Cable Elementary School,4/10,Below average,"1706 Pinn Road, San Antonio, TX, 78227",Public district,PK-5,679,18:1,Northside Independent School District (NISD)
8131,Colonies North Elementary School,4/10,Below average,"9915 Northampton Drive, San Antonio, TX, 78230",Public district,PK-5,751,17:1,Northside Independent School District (NISD)
8132,Pease Middle School,4/10,Below average,"201 Hunt Lane, San Antonio, TX, 78245",Public district,6-8,1099,16:1,Northside Independent School District (NISD)
8133,Glenn Elementary School,4/10,Below average,"2385 Horal Drive, San Antonio, TX, 78227",Public district,PK-5,570,18:1,Northside Independent School District (NISD)
8134,Hull Elementary School,4/10,Below average,"7320 Remuda Drive, San Antonio, TX, 78227",Public district,PK-5,548,20:1,Northside Independent School District (NISD)
8135,Locke Hill Elementary School,4/10,Below average,"5050 De Zavala Road, San Antonio, TX, 78249",Public district,PK-5,641,20:1,Northside Independent School District (NISD)
8136,Meadow Village Elementary School,4/10,Below average,"1406 Meadow Way Drive, San Antonio, TX, 78227",Public district,PK-5,532,18:1,Northside Independent School District (NISD)
8137,Rayburn Middle School,4/10,Below average,"1400 Cedarhurst Drive, San Antonio, TX, 78227",Public district,6-8,929,14:1,Northside Independent School District (NISD)
8138,Ross Middle School,4/10,Below average,"3630 Callaghan Road, San Antonio, TX, 78228",Public district,6-8,1165,16:1,Northside Independent School District (NISD)
8139,Powell Elementary School,4/10,Below average,"6003 Thunder Drive, San Antonio, TX, 78238",Public district,PK-5,502,21:1,Northside Independent School District (NISD)
8140,Rudder Middle School,4/10,Below average,"6558 Horn Boulevard, San Antonio, TX, 78240",Public district,6-8,970,14:1,Northside Independent School District (NISD)
8141,Cody Elementary School,4/10,Below average,"10403 Dugas Drive, San Antonio, TX, 78245",Public district,PK-5,628,17:1,Northside Independent School District (NISD)
8142,Zachry Middle School,4/10,Below average,"9410 Timber Path, San Antonio, TX, 78250",Public district,6-8,948,14:1,Northside Independent School District (NISD)
8143,Elrod Elementary School,4/10,Below average,"8885 Heath Circle Drive, San Antonio, TX, 78250",Public district,PK-5,457,19:1,Northside Independent School District (NISD)
8144,May Elementary School,4/10,Below average,"15707 Chase Hill Boulevard, San Antonio, TX, 78256",Public district,PK-5,573,17:1,Northside Independent School District (NISD)
8145,Myers Elementary School,4/10,Below average,"3031 Village Parkway, San Antonio, TX, 78251",Public district,PK-5,680,18:1,Northside Independent School District (NISD)
8146,Excel Academy,4/10,Below average,"11937 West Interstate 10 Frontage Road, San Antonio, TX, 78257",Public district,11-12,93,15:1,Northside Independent School District (NISD)
8147,Cooper Academy,4/10,Below average,"623 South Pecos La Trinidad, San Antonio, TX, 78207",Public district,9-12,318,14:1,San Antonio Independent School District
8148,Milton B Lee Academy Of Science &,4/10,Below average,"1826 Basse Road, San Antonio, TX, 78213",Public charter,9-12,129,16:1,School Of Excellence In Education
8149,Highland Park Gifted And Talented,4/10,Below average,"4434 Roland Road, San Antonio, TX, 78222",Public charter,PK-8,299,11:1,Jubilee Academic Center
8150,Harlingen Leadership Academy,4/10,Below average,"4434 Roland Road, San Antonio, TX, 78222",Public charter,PK-12,271,14:1,Jubilee Academic Center
8151,Kipp Camino Academy,4/10,Below average,"4343 West Commerce Street, San Antonio, TX, 78237",Public charter,5-8,466,19:1,KIPP San Antonio
8152,Dr Paul S Saenz J High School,3/10,Below average,"1830 Basse Road, San Antonio, TX, 78213",Public charter,7-8,73,15:1,School Of Excellence In Education
8153,New Directions,3/10,Below average,"1258 Austin Highway, San Antonio, TX, 78209",Public charter,6-12,141,14:1,Southwest Preparatory School
8154,Tejeda Junior Academy,3/10,Below average,"12121 South East Loop 410, San Antonio, TX, 78221",Public district,6-8,41,8:1,Harlandale Independent School District
8155,Brooks Academy Of Science And Engineering,3/10,Below average,"3803 Lyster Road, San Antonio, TX, 78235",Public charter,PK-5,1700,21:1,Brooks Academy Of Science And Engineering
8156,Spicewood Park Elementary School,3/10,Below average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,637,16:1,Southwest Independent School District
8157,Dr David C Walker Intermediate School,3/10,Below average,"1826 Basse Road, San Antonio, TX, 78213",Public charter,PK-6,164,12:1,School Of Excellence In Education
8158,Bowden Elementary School,3/10,Below average,"515 Willow Street, San Antonio, TX, 78202",Public district,PK-7,513,13:1,San Antonio Independent School District
8159,Burbank High School,3/10,Below average,"1002 Edwards, San Antonio, TX, 78204",Public district,9-12,1253,16:1,San Antonio Independent School District
8160,Davis Middle School,3/10,Below average,"4702 East Houston Street, San Antonio, TX, 78220",Public charter,6-8,718,16:1,San Antonio Independent School District
8161,Douglass El,3/10,Below average,"318 Martin Luther King Drive, San Antonio, TX, 78203",Public district,PK-6,396,15:1,San Antonio Independent School District
8162,Edison High School,3/10,Below average,"701 Santa Monica, San Antonio, TX, 78212",Public district,9-12,1611,17:1,San Antonio Independent School District
8163,Fenwick Elementary School,3/10,Below average,"1930 Waverly Avenue, San Antonio, TX, 78228",Public district,PK-6,443,13:1,San Antonio Independent School District
8164,Herff Elementary School,3/10,Below average,"996 South Hackberry, San Antonio, TX, 78210",Public district,PK-6,441,15:1,San Antonio Independent School District
8165,J T Brackenridge El,3/10,Below average,"1214 Guadalupe Street, San Antonio, TX, 78207",Public district,PK-5,652,15:1,San Antonio Independent School District
8166,Jefferson High School,3/10,Below average,"723 Donaldson Avenue, San Antonio, TX, 78201",Public district,9-12,1740,17:1,San Antonio Independent School District
8167,Lowell Middle,3/10,Below average,"919 Thompson Place, San Antonio, TX, 78226",Public district,6-8,407,13:1,San Antonio Independent School District
8168,Maverick Elementary School,3/10,Below average,"107 Raleigh Place, San Antonio, TX, 78201",Public district,PK-5,571,15:1,San Antonio Independent School District
8169,Page Middle School,3/10,Below average,"401 Berkshire Avenue, San Antonio, TX, 78210",Public district,7-8,248,11:1,San Antonio Independent School District
8170,Rhodes Middle School,3/10,Below average,"3000 Tampico Street, San Antonio, TX, 78207",Public charter,6-8,685,16:1,San Antonio Independent School District
8171,Rodriguez Elementary School,3/10,Below average,"3626 West César E Chávez Boulevard, San Antonio, TX, 78207",Public district,PK-5,346,14:1,San Antonio Independent School District
8172,Rogers Elementary School,3/10,Below average,"620 McIlvaine, San Antonio, TX, 78212",Public district,PK-7,685,16:1,San Antonio Independent School District
8173,Sarah S King Elementary School,3/10,Below average,"1001 Ceralvo Street, San Antonio, TX, 78207",Public district,PK-5,686,15:1,San Antonio Independent School District
8174,Tafolla Middle School,3/10,Below average,"1303 West César E Chávez Boulevard, San Antonio, TX, 78207",Public district,6-8,694,15:1,San Antonio Independent School District
8175,Wilson Elementary School,3/10,Below average,"1421 Clower, San Antonio, TX, 78201",Public district,PK-5,460,16:1,San Antonio Independent School District
8176,Woodlawn Hills Elementary School,3/10,Below average,"110 West Quill Drive, San Antonio, TX, 78228",Public district,PK-5,497,15:1,San Antonio Independent School District
8177,Dwight Middle School,3/10,Below average,"2454 West Southcross Boulevard, San Antonio, TX, 78211",Public district,6-8,647,17:1,South San Antonio Independent School District
8178,Hutchins Elementary School,3/10,Below average,"1919 West Hutchins Place, San Antonio, TX, 78224",Public district,PK-5,546,15:1,South San Antonio Independent School District
8179,Price Elementary School,3/10,Below average,"245 Price Avenue, San Antonio, TX, 78211",Public district,PK-5,543,16:1,South San Antonio Independent School District
8180,South San Antonio High School,3/10,Below average,"2515 Navajo Street, San Antonio, TX, 78224",Public district,9-12,2606,18:1,South San Antonio Independent School District
8181,Miguel Carrillo Jr Elementary School,3/10,Below average,"500 Price Avenue, San Antonio, TX, 78211",Public district,PK-5,471,18:1,South San Antonio Independent School District
8182,Southside High School,3/10,Below average,"1460 Martinez Losoya Road, San Antonio, TX, 78221",Public district,9-12,1575,15:1,Southside Independent School District
8183,Julius L Matthey Middle School,3/10,Below average,"1460 Martinez Losoya Road, San Antonio, TX, 78221",Public district,7-8,803,14:1,Southside Independent School District
8184,Losoya Intermediate School,3/10,Below average,"1460 Martinez Losoya Road, San Antonio, TX, 78221",Public district,5-6,878,16:1,Southside Independent School District
8185,Southwest High School,3/10,Below average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,9-12,2375,17:1,Southwest Independent School District
8186,Ronald E Mcnair Middle School,3/10,Below average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,6-8,729,15:1,Southwest Independent School District
8187,Bexar County Academy,3/10,Below average,"1485 Hillcrest Drive, San Antonio, TX, 78228",Public charter,PK-8,374,13:1,Bexar County Academy
8188,William Paschall Elementary School,3/10,Below average,"6351 Lakeview Drive, San Antonio, TX, 78244",Public district,PK-5,648,14:1,Judson Independent School District
8189,Jubilee Academy,3/10,Below average,"4434 Roland Road, San Antonio, TX, 78222",Public charter,PK-12,1150,19:1,Jubilee Academic Center
8190,Corpus Christi College Prep High School,3/10,Below average,"1135 Mission Road, San Antonio, TX, 78210",Public charter,9-12,68,11:1,Por Vida Academy
8191,Henry Metzger Middle School,3/10,Below average,"7475 Binz-Engleman Road, San Antonio, TX, 78244",Public district,6-8,980,15:1,Judson Independent School District
8192,East Central High School,3/10,Below average,"7173 Farm to Market Road 1628, San Antonio, TX, 78263",Public district,9-12,3132,17:1,East Central Independent School District
8193,Pecan Valley Elementary School,3/10,Below average,"3966 East Southcross, San Antonio, TX, 78222",Public district,PK-3,520,13:1,East Central Independent School District
8194,Salado Intermediate School,3/10,Below average,"3602 South WW White Road, San Antonio, TX, 78222",Public district,4-5,761,16:1,East Central Independent School District
8195,Sinclair Elementary School,3/10,Below average,"6126 Sinclair Road, San Antonio, TX, 78222",Public district,PK-3,656,16:1,East Central Independent School District
8196,East Central Heritage Middle School,3/10,Below average,"8004 New Sulphur Springs Road, San Antonio, TX, 78263",Public district,6-8,1172,17:1,East Central Independent School District
