Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
577,Kove Learning Academy,0,Currently unrated,"3137 W 71st St, Chicago, IL, 60629",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
578,Lakeview Development Center,0,Currently unrated,"1531 W Lawrence Ave, Chicago, IL, 60640",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
579,Little Leaders of Tomorrow,0,Currently unrated,"5153 W Lake St, Chicago, IL, 60644",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
580,Little Leaders of Tomorrow Daycare,0,Currently unrated,"301 N Mayfield Ave, Chicago, IL, 60644",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
581,Lydia Urban Academy,0,Currently unrated,"4300 West Irving Park Road, Chicago, IL, 60641",Private,9-11,17.0,,Unavailable,Chicago,IL,1,0,0,0
582,McKinley Academy at Lakeside,0,Currently unrated,"2929 S Wabash Ave, Chicago, IL, 60616",Public charter,9-12,151.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
583,Mother's Touch,0,Currently unrated,"2501 W 71st St, Chicago, IL, 60629",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
584,New Direction Academy,0,Currently unrated,"8422 S Damen Ave, Chicago, IL, 60620",Private,1-8,0.0,,Unavailable,Chicago,IL,0,1,1,0
585,Panda Montessori Academy,0,Currently unrated,"6921 North Ridge Boulevard, Chicago, IL, 60645",Private,PK-K,48.0,,Unavailable,Chicago,IL,0,0,1,1
586,Renaissance Prep School,0,Currently unrated,"719 S State, Chicago, IL, 60605",Private,"3, 9-12",0.0,,Unavailable,Chicago,IL,1,0,1,0
587,South Side Educational Center,0,Currently unrated,"720 W 111th St, Chicago, IL, 60628",Private,"K-2, 4-8",0.0,,Unavailable,Chicago,IL,0,1,1,0
588,Young Scholars Developmental Institute Early Learning,0,Currently unrated,"3038 West 59th Street, Chicago, IL, 60629",Private,PK-K,70.0,,Unavailable,Chicago,IL,0,0,1,1
589,Christian Heritage Academy - Chicago Campus,0,Currently unrated,"1001 N Crosby St, Chicago, IL, 60610",Private,PK-3,0.0,,Unavailable,Chicago,IL,0,0,1,1
590,CICS Loomis,0,Currently unrated,"9535 S. Loomis Avenue, Chicago, IL, 60643",Public charter,K-2,561.0,19:1,City Of Chicago School District 299,Chicago,IL,0,0,1,0
591,Urban Prairie,0,Currently unrated,"1310 S Ashland Ave, Chicago, IL, 60608",Private,1-3,128.0,,Unavailable,Chicago,IL,0,0,1,0
592,City Garden Early Childhood Center,0,Currently unrated,"920 W. 19th St., Chicago, IL, 60608",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
593,York Alternative High School,0,Currently unrated,"2700 South California Avenue, Chicago, IL, 60608",Public district,9-12,203.0,5:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
594,Banner West Academy High School,0,Currently unrated,"819 North Leamington Avenue, Chicago, IL, 60651",Public district,9-12,65.0,25:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
595,Ijla Charter High School,0,Currently unrated,"2520 South Western Avenue, Chicago, IL, 60608",Public charter,9-12,86.0,10:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
596,Pathways In Education High School,0,Currently unrated,"3100 West Belmont Avenue, Chicago, IL, 60618",Public district,9-12,885.0,28:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
597,Dcn Christian Academy,0,Currently unrated,"3205 South Austin Boulevard, Chicago, IL, 60644",Private,PK-8,0.0,,Unavailable,Chicago,IL,0,1,1,1
598,New Direction College Preparatory,0,Currently unrated,"2750 West Columbus Avenue, Chicago, IL, 60652",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
599,Harriet Jamison College Preparatory Academy,0,Currently unrated,"1225 West 108th Place, Chicago, IL, 60643",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
600,Tots Express Learning Center/Express Academy,0,Currently unrated,"8950 South Cottage Grove Avenue, Chicago, IL, 60619",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
601,Legacy Connections Vocational School,0,Currently unrated,"6360 South Minerva Avenue, Chicago, IL, 60637",Private,9-12,0.0,,Unavailable,Chicago,IL,1,0,0,0
602,Kingdom Connection Academy,0,Currently unrated,"Po Box 201755, Chicago, IL, 60620",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
603,Stevens Academy Of Life,0,Currently unrated,"1169 West 106th Street, Chicago, IL, 60643",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
604,Creme De La Creme,0,Currently unrated,"2230 North Dominick Street, Chicago, IL, 60614",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
605,Pass It On Academy,0,Currently unrated,"2914 West 63rd Street, Chicago, IL, 60629",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
606,Resourceful Center Academy Of Scholars,0,Currently unrated,"11361 South Forrestville Avenue, Chicago, IL, 60628",Private,PK-6,0.0,,Unavailable,Chicago,IL,0,1,1,1
607,Reaching Out Career Academy,0,Currently unrated,"1950 South Saint Louis Avenue, Chicago, IL, 60623",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
608,New Day College Preparatory,0,Currently unrated,"5038 West Madison Street, Chicago, IL, 60644",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
609,New Directions Empowerment Academy,0,Currently unrated,"7730 South Cottage Grove Avenue, Chicago, IL, 60619",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
610,John Amos George College Preparatory,0,Currently unrated,"8736 South Blackstone Avenue, Chicago, IL, 60619",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
611,Worship Academy College Preparatory,0,Currently unrated,"1400 South Kolin Avenue, Chicago, IL, 60623",Private,K-12,0.0,,Unavailable,Chicago,IL,1,1,1,0
612,G & L Johnson Career Academy,0,Currently unrated,"10648 South Michigan Avenue, Chicago, IL, 60628",Private,PK-6,0.0,,Unavailable,Chicago,IL,0,1,1,1
613,Chance After Chance College Preparatory,0,Currently unrated,"309 North Cicero Avenue, Chicago, IL, 60639",Private,PK-8,0.0,,Unavailable,Chicago,IL,0,1,1,1
614,Together In Love Academy,0,Currently unrated,"10237 South State Street, Chicago, IL, 60628",Private,PK-8,0.0,,Unavailable,Chicago,IL,0,1,1,1
615,Robert T Walker Leadership Intermediate School,0,Currently unrated,"1808 West 99th Street, Chicago, IL, 60643",Private,PK-1,0.0,,Unavailable,Chicago,IL,0,0,1,1
616,Rehoboth Educational Academy,0,Currently unrated,"11705 South Michigan Avenue, Chicago, IL, 60628",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
617,Poetic Praize Youth Academy,0,Currently unrated,"845 West 69th Street, Chicago, IL, 60621",Private,K-12,0.0,,Unavailable,Chicago,IL,1,1,1,0
618,Greater Pleasant Valley College Preparatory,0,Currently unrated,"910 East 83rd Street, Chicago, IL, 60619",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
619,Mountain Of Hope College Preparatory,0,Currently unrated,"8004 South May Street, Chicago, IL, 60620",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
620,South Loop Montessori School,0,Currently unrated,"47 West Polk Street, Chicago, IL, 60605",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
621,Ambassadors Of Tech And Performing Arts Academy,0,Currently unrated,"7859 South Ashland Avenue, Chicago, IL, 60636",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
622,The Shirley Deer Education And Technology Institute,0,Currently unrated,"3936 W Roosevelt Rd Fl 2, Chicago, IL, 60624",Private,9-10,0.0,,Unavailable,Chicago,IL,1,0,0,0
623,"Luther High School Math, Science, Fine And Performing Arts",0,Currently unrated,"3130 West 87th Street, Chicago, IL, 60652",Private,9-12,0.0,,Unavailable,Chicago,IL,1,0,0,0
624,Greater Mt Avery Prep,0,Currently unrated,"10558 South Wentworth Avenue, Chicago, IL, 60628",Private,"1, 4, 7, 11",0.0,,Unavailable,Chicago,IL,1,1,1,0
625,Christ Light World Academy,0,Currently unrated,"2405 East 75th Street, Chicago, IL, 60649",Private,"PK-K, 6, 12",0.0,,Unavailable,Chicago,IL,1,1,1,1
626,Chicago Friends School,0,Currently unrated,"1246 West Thorndale Avenue, Chicago, IL, 60660",Private,K-5,8.0,,Unavailable,Chicago,IL,0,0,1,0
627,All Day Montessori,0,Currently unrated,"1819 West 99th Street, Chicago, IL, 60643",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
628,New Jerusalem Scholars Academy,0,Currently unrated,"7123 South Halsted Street, Chicago, IL, 60621",Private,"K, 3, 5-6",0.0,,Unavailable,Chicago,IL,0,1,1,0
629,Beginners Enrichment Academy,0,Currently unrated,"4258 West Iowa Street, Chicago, IL, 60651",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
630,Wisdom Learning Academy,0,Currently unrated,"12245 South Perry Avenue, Chicago, IL, 60628",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
631,John Raymond Parker Life House Academy,0,Currently unrated,"900 North Waller Avenue, Chicago, IL, 60651",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
632,Excellence In Academic Achievement Academy,0,Currently unrated,"9612 South Charles Street, Chicago, IL, 60643",Private,K-12,0.0,,Unavailable,Chicago,IL,1,1,1,0
633,Fresh Anointing Academy Of Excellence,0,Currently unrated,"6907 South Ashland Avenue, Chicago, IL, 60636",Private,9-12,0.0,,Unavailable,Chicago,IL,1,0,0,0
634,Empowerment Christian Academy,0,Currently unrated,"6446 South Ashland Avenue, Chicago, IL, 60636",Private,PK-8,0.0,,Unavailable,Chicago,IL,0,1,1,1
635,Judah Foundational Community School,0,Currently unrated,"856 North Pulaski Road, Chicago, IL, 60651",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
636,Center Of Life Learning Academy,0,Currently unrated,"6643 South Ashland Avenue, Chicago, IL, 60636",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
637,Sprout Academy,0,Currently unrated,"6738 South Throop Street, Chicago, IL, 60636",Private,PK-6,0.0,,Unavailable,Chicago,IL,0,1,1,1
638,Labor Of Love Performing Arts Academy,0,Currently unrated,"9901 South Winston Avenue, Chicago, IL, 60643",Private,PK-8,0.0,,Unavailable,Chicago,IL,0,1,1,1
639,Living Free Center,0,Currently unrated,"2158 West Randolph Street, Chicago, IL, 60612",Private,"5, 9, 11",0.0,,Unavailable,Chicago,IL,1,0,1,0
640,World Language Academy Of Scholars,0,Currently unrated,"8431 South Escanaba Avenue, Chicago, IL, 60617",Private,PK-3,0.0,,Unavailable,Chicago,IL,0,0,1,1
641,Mount Of Transformation Christian School,0,Currently unrated,"4747 South Princeton Avenue, Chicago, IL, 60609",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
642,Corcoran Elementary School,0,Currently unrated,"5909 West 63rd Place, Chicago, IL, 60638",Private,1-8,0.0,,Unavailable,Chicago,IL,0,1,1,0
643,Gods Battle Axe Prayer Academy,0,Currently unrated,"6969 North Western Avenue, Chicago, IL, 60645",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
644,Operation Restoration Development School,0,Currently unrated,"8758 South Peoria Street, Chicago, IL, 60620",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
645,Christ The King Jesuit College Preparatory School,0,Currently unrated,"5088 West Jackson Boulevard, Chicago, IL, 60644",Private,9-12,165.0,,Unavailable,Chicago,IL,1,0,0,0
646,Woodlawn Academy College Preparatory,0,Currently unrated,"4817 West Chicago Avenue, Chicago, IL, 60651",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
647,Lordanchild Christian Daycare,0,Currently unrated,"3344 West 79th Street, Chicago, IL, 60652",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
648,New Life Community Zone School,0,Currently unrated,"3540 West Cermak Road, Chicago, IL, 60623",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
649,Greater Helping Hand Christian Academy,0,Currently unrated,"555 East 87th Street, Chicago, IL, 60619",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
650,Love Faith And Praise Academy,0,Currently unrated,"6948 South Stewart Avenue, Chicago, IL, 60621",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
651,"British International School of Chicago, Lincoln Park",0,Currently unrated,"814 W. Eastman, Chicago, IL, 60642",Private,PK-5,0.0,,Unavailable,Chicago,IL,0,0,1,1
652,Pnuema Institute,0,Currently unrated,"400 West 76th Street, Chicago, IL, 60620",Private,9-11,0.0,,Unavailable,Chicago,IL,1,0,0,0
653,Just For Kids,0,Currently unrated,"5036 South Blackstone Avenue, Chicago, IL, 60615",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
654,Just For Kids,0,Currently unrated,"11024 South Bell Avenue, Chicago, IL, 60643",Private,PK-K,0.0,,Unavailable,Chicago,IL,0,0,1,1
655,Cs Academy,0,Currently unrated,"1443 West 63rd Street, Chicago, IL, 60636",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
656,The Cambridge School Chicago,0,Currently unrated,"4611 South Ellis Avenue, Chicago, IL, 60653",Private,PK-6,0.0,,Unavailable,Chicago,IL,0,1,1,1
657,Educate Empower Academy,0,Currently unrated,"12900 South Halsted Street, Chicago, IL, 60628",Private,PK-5,0.0,,Unavailable,Chicago,IL,0,0,1,1
658,Holman Leadership Academy,0,Currently unrated,"7100 South South Shore Drive, Chicago, IL, 60649",Private,PK-6,0.0,,Unavailable,Chicago,IL,0,1,1,1
659,GCE Lab School,0,Currently unrated,"9 West Washington St., Fourth Floor, Chicago, IL, 60642",Private,9-12,0.0,,Unavailable,Chicago,IL,1,0,0,0
660,German International School Chicago,0,Currently unrated,"1726 West Berteau Avenue, Chicago, IL, 60613",Private,PK-8,97.0,,Unavailable,Chicago,IL,0,1,1,1
661,Concordia Place,0,Currently unrated,"3300 N. Whipple, Chicago, IL, 60618",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
662,KAM Isaiah Israel Nursery School,0,Currently unrated,"1100 E Hyde Park Blvd, Chicago, IL, 60615",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
663,Bennett Day School,0,Currently unrated,"955 W Grand Ave, Chicago, IL, 60642",Private,PK-12,0.0,,Unavailable,Chicago,IL,1,1,1,1
664,Solon Bilingual Prep,0,Currently unrated,"2727 W. Winona Avenue, Chicago, IL, 60625",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
665,It Takes A Village at River City,0,Currently unrated,"800 S Wells St, Suite 180, Chicago, IL, 60607",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
666,Vera Thomas Preschool Center,0,Currently unrated,"6450 South Cottage Grove Avenue, Chicago, IL, 60637",Private,PK-K,22.0,,Unavailable,Chicago,IL,0,0,1,1
667,Childrens House Of Miss Tammie,0,Currently unrated,"5480 South Kenwood Avenue, Chicago, IL, 60615",Private,PK-1,21.0,,Unavailable,Chicago,IL,0,0,1,1
668,Misericordia School,0,Currently unrated,"2060 West Granville Avenue, Chicago, IL, 60659",Private,Ungraded,8.0,,Unavailable,Chicago,IL,0,0,0,0
669,Montessori Academy Of Chicago,0,Currently unrated,"1335 West Randolph Street, Chicago, IL, 60607",Private,PK-8,288.0,,Unavailable,Chicago,IL,0,1,1,1
670,Torah Montessori School,0,Currently unrated,"2800 West North Shore Avenue, Chicago, IL, 60645",Private,Ungraded,65.0,,Unavailable,Chicago,IL,0,0,0,0
671,Tzemach Tzedek School,0,Currently unrated,"6135 North Sacramento Avenue, Chicago, IL, 60659",Private,PK-K,22.0,,Unavailable,Chicago,IL,0,0,1,1
672,Children Rendez Vous,0,Currently unrated,"5492 South Everett Avenue, Chicago, IL, 60615",Private,K-8,32.0,,Unavailable,Chicago,IL,0,1,1,0
673,Higher Learning Daycare & Education Center,0,Currently unrated,"2526 East 73rd Street, Chicago, IL, 60619",Private,PK-K,36.0,,Unavailable,Chicago,IL,0,0,1,1
674,Jellybean Learning Center,0,Currently unrated,"8501 South Ashland Avenue, Chicago, IL, 60620",Private,PK-K,42.0,,Unavailable,Chicago,IL,0,0,1,1
675,The World Is Yours Child Care & Learning Center In,0,Currently unrated,"8026 South Cottage Grove Avenue, Chicago, IL, 60619",Private,PK-K,22.0,,Unavailable,Chicago,IL,0,0,1,1
676,Montessori Learning Center Of Edison Park,0,Currently unrated,"6740 North Oliphant Avenue, Chicago, IL, 60631",Private,PK-K,75.0,,Unavailable,Chicago,IL,0,0,1,1
677,The Gardner School of Chicago - West Loop,0,Currently unrated,"1301 West Madison Street, Chicago, IL, 60607",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
678,Bright Horizons at River East,0,Currently unrated,"325 East Grand Avenue, Chicago, IL, 60611",Private,PK,0.0,,Unavailable,Chicago,IL,0,0,0,1
679,Chicago Excel Academy High School,0,Currently unrated,"1257 West 111th Street, Chicago, IL, 60643",Public district,9-12,281.0,21:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
680,KIPP Create College Prep,0,Currently unrated,"4818 West Ohio Street, Chicago, IL, 60644",Public charter,K-8,1685.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
